第9屆立法委員選舉（金門縣選舉區）,2016年1月16日,1,2,3,4,5,6,7,8,,,
,,洪志恒,陳滄江,高丹樺,張中法,楊鎮浯*,陳仲立,陳德輝,吳成典,,,
,,無,民主進步黨,軍公教聯盟黨,無,中國國民黨,無,台灣工黨,新黨,有效票數,無效票,選舉人數
金城鎮,東門里,12,158,19,11,394,1,0,221,816,18,2282
金城鎮,東門里,11,155,30,10,385,2,4,210,807,15,2366
金城鎮,南門里,6,124,18,2,277,0,2,161,590,7,1725
金城鎮,南門里,7,109,10,9,216,0,2,166,519,5,1539
金城鎮,南門里,13,143,9,5,358,0,0,130,658,12,1777
金城鎮,西門里,9,152,9,9,292,0,2,189,662,15,1895
金城鎮,西門里,10,128,13,4,283,0,1,167,606,13,1739
金城鎮,西門里,13,111,14,6,359,0,0,138,641,11,1838
金城鎮,西門里,11,162,14,4,340,1,1,165,698,19,1950
金城鎮,西門里,10,136,14,19,296,0,1,188,664,6,1766
金城鎮,北門里,7,120,7,9,350,4,1,193,691,18,1933
金城鎮,北門里,14,109,7,3,281,1,0,194,609,11,1941
金城鎮,賢庵里,16,201,15,1,310,0,2,172,717,13,2276
金城鎮,賢庵里,4,178,6,5,265,0,6,125,589,19,1825
金城鎮,金水里,14,122,12,6,318,2,3,131,608,15,1885
金城鎮,古城里,14,140,11,4,317,0,10,139,635,13,2088
金城鎮,古城里,8,80,5,4,256,1,2,49,405,5,1237
金城鎮,珠沙里,3,61,0,5,187,1,1,106,364,7,1423
金城鎮,珠沙里,6,104,8,2,158,0,0,118,396,6,1207
金寧鄉,古寧村,7,81,9,1,214,0,0,141,453,12,1609
金寧鄉,古寧村,5,86,1,0,189,1,0,108,390,7,1390
金寧鄉,安美村,5,103,6,5,170,1,1,127,418,16,1339
金寧鄉,安美村,10,81,3,3,123,0,0,70,290,11,951
金寧鄉,安美村,11,129,9,3,266,1,0,115,534,24,1501
金寧鄉,湖埔村,7,77,5,1,536,0,0,50,676,9,1963
金寧鄉,湖埔村,9,183,12,5,247,0,1,172,629,7,1687
金寧鄉,湖埔村,7,93,15,4,216,0,1,76,412,1,1336
金寧鄉,榜林村,7,144,6,1,227,2,0,80,467,13,1495
金寧鄉,榜林村,8,132,5,3,227,0,0,82,457,13,1670
金寧鄉,榜林村,4,114,8,4,196,1,0,121,448,11,1356
金寧鄉,盤山村,8,106,5,6,197,1,0,117,440,9,1456
金寧鄉,盤山村,5,141,7,7,178,0,0,121,459,10,1414
金寧鄉,盤山村,40,463,63,19,272,6,5,230,1098,34,1760
金寧鄉,盤山村,3,102,11,3,178,0,0,104,401,5,1217
金寧鄉,后盤村,8,79,2,3,146,2,0,148,388,16,1349
金湖鎮,新市里,12,186,15,18,345,0,7,189,772,13,2011
金湖鎮,新市里,8,178,13,17,354,0,12,186,768,16,2015
金湖鎮,山外里,11,191,9,21,216,0,2,133,583,10,1695
金湖鎮,山外里,5,134,5,51,205,0,1,123,524,6,1414
金湖鎮,溪湖里,4,95,4,65,191,3,0,52,414,22,1370
金湖鎮,蓮庵里,1,84,6,8,259,0,3,93,454,10,1496
金湖鎮,料羅里,14,122,17,28,270,1,3,111,566,8,1679
金湖鎮,新湖里,8,315,18,22,273,1,4,153,794,9,2401
金湖鎮,新湖里,8,156,17,20,267,0,4,181,653,12,1946
金湖鎮,新湖里,10,224,19,38,292,0,3,178,764,13,2163
金湖鎮,正義里,20,236,18,43,322,2,4,121,766,15,2290
金湖鎮,瓊林里,5,81,5,18,273,1,1,97,481,8,1445
金湖鎮,瓊林里,12,83,11,10,262,1,1,113,493,10,1409
金沙鎮,汶沙里,12,139,7,12,274,1,3,113,561,11,1765
金沙鎮,汶沙里,4,118,4,4,256,0,2,121,509,7,1426
金沙鎮,汶沙里,7,95,8,9,259,1,3,115,497,10,1502
金沙鎮,何斗里,3,214,12,18,233,1,1,104,586,11,1805
金沙鎮,浦山里,4,85,5,4,152,0,0,111,361,16,1116
金沙鎮,浦山里,14,70,3,6,112,0,1,83,289,7,959
金沙鎮,西園里,8,83,5,3,180,0,3,135,417,10,1422
金沙鎮,官嶼里,6,64,11,13,414,2,0,84,594,13,1987
金沙鎮,三山里,8,158,9,4,272,0,1,95,547,4,1744
金沙鎮,大洋里,3,83,6,10,90,1,1,161,355,8,1063
金沙鎮,光前里,9,106,3,12,159,0,1,78,368,12,1076
金沙鎮,光前里,8,96,7,10,139,2,0,76,338,9,998
烈嶼鄉,林湖村,8,48,3,2,170,0,0,245,476,6,1388
烈嶼鄉,林湖村,24,67,5,2,164,0,0,232,494,8,1721
烈嶼鄉,黃埔村,42,47,4,4,170,1,4,135,407,6,1408
烈嶼鄉,西口村,16,90,8,1,211,0,0,238,564,13,2222
烈嶼鄉,上林村,10,30,1,4,85,0,1,224,355,5,1291
烈嶼鄉,上岐村,10,76,5,7,202,3,1,497,801,12,2570
烏坵鄉,大坵村,1,5,9,0,31,0,0,3,49,1,237
烏坵鄉,小坵村,0,1,6,0,24,0,0,1,32,0,259
