,1998年12月5日,1,2,3,4,5,,,,,,
,,陳國堯,李成義,陳清寶*#,陳耀煇,許金土,,,,,,
,,無,無,中國國民黨,新黨,無,有效票,無效票,選舉人數,,,
金城鎮,東門里,14,390,328,78,100,910,6,1553,,,
金城鎮,南門里,5,189,210,17,87,508,8,842,,,
金城鎮,南門里,8,255,243,34,80,620,14,1027,,,
金城鎮,西門里,4,217,231,36,61,549,9,940,,,
金城鎮,西門里,3,240,239,27,49,558,6,983,,,
金城鎮,西門里,5,251,219,55,77,607,14,978,,,
金城鎮,北門里,5,390,231,57,72,755,12,1341,,,
金城鎮,賢庵里,7,209,279,69,61,625,12,1062,,,
金城鎮,金水里,5,154,154,49,21,383,5,575,,,
金城鎮,古城里,5,235,356,58,41,695,16,1133,,,
金城鎮,珠沙里,3,114,131,31,25,304,7,565,,,
金寧鄉,古寧村,1,617,57,15,6,696,11,1069,,,
金寧鄉,安美村,13,279,267,31,181,771,12,1314,,,
金寧鄉,湖埔村,5,214,260,36,91,606,11,1029,,,
金寧鄉,榜林村,3,202,298,25,170,698,13,1293,,,
金寧鄉,盤山村,10,222,311,19,44,606,7,990,,,
金寧鄉,后盤村,1,78,88,9,63,239,6,442,,,
金湖鎮,新市里,6,243,231,42,32,554,10,782,,,
金湖鎮,新市里,6,202,221,30,36,495,3,808,,,
金湖鎮,山外里,9,259,385,41,36,730,11,1164,,,
金湖鎮,溪湖里,10,131,135,5,20,301,4,514,,,
金湖鎮,蓮庵里,0,83,175,27,27,312,4,500,,,
金湖鎮,料羅里,4,93,200,10,20,327,3,527,,,
金湖鎮,新湖里,14,226,436,76,50,802,19,1298,,,
金湖鎮,正義里,9,77,434,20,13,553,11,799,,,
金湖鎮,瓊林里,13,251,268,65,56,653,16,1078,,,
金沙鎮,汶沙里,13,229,241,11,28,522,7,873,,,
金沙鎮,汶沙里,22,202,253,14,21,512,4,828,,,
金沙鎮,何斗里,72,114,234,16,13,449,6,675,,,
金沙鎮,浦山里,17,133,226,38,18,432,7,756,,,
金沙鎮,西園里,11,66,169,7,21,274,7,509,,,
金沙鎮,官嶼里,15,129,147,16,14,321,3,629,,,
金沙鎮,三山里,10,186,154,11,12,373,6,641,,,
金沙鎮,大洋里,7,97,104,8,8,224,4,405,,,
金沙鎮,光前里,17,157,178,11,18,381,11,671,,,
烈嶼鄉,林湖村,0,257,298,19,35,609,10,1022,,,
烈嶼鄉,黃埔村,1,89,137,4,12,243,8,445,,,
烈嶼鄉,西口村,4,121,186,7,34,352,7,684,,,
烈嶼鄉,上林村,2,82,149,6,7,246,2,427,,,
烈嶼鄉,上歧村,5,242,202,16,26,491,9,869,,,
烏坵鄉,大坵村,0,6,32,0,0,38,0,276,,,
