,2012年1月14日,1,2,3,4,5,6,7,8,9,10,11,,,
,,台灣國民會議,人民最大黨,民主進步黨,台灣團結聯盟,中國國民黨,新黨,健保免費連線,綠黨,親民黨,中華民國臺灣基本法連線,台灣主義黨,,,
,,台灣國民會議,人民最大黨,民主進步黨,台灣團結聯盟,中國國民黨,新黨,健保免費連線,綠黨,親民黨,中華民國臺灣基本法連線,台灣主義黨,有效票,無效票,選舉人數
金城鎮,東門里,9,5,63,19,636,42,13,11,42,3,0,843,21,1788
金城鎮,東門里,10,7,84,14,729,73,6,10,50,2,1,986,22,1998
金城鎮,南門里,4,12,58,4,639,44,6,9,75,0,1,852,25,1781
金城鎮,南門里,3,5,39,3,367,18,3,7,34,0,0,479,8,1055
金城鎮,南門里,6,5,40,12,498,21,2,8,59,0,0,651,13,1270
金城鎮,西門里,3,9,58,10,660,52,6,14,62,0,1,875,35,1903
金城鎮,西門里,7,9,54,9,818,54,9,12,64,0,0,1036,35,2265
金城鎮,西門里,3,6,24,5,613,59,4,8,35,1,0,758,11,1531
金城鎮,西門里,3,2,41,15,693,53,3,7,54,1,1,873,16,1683
金城鎮,北門里,6,6,43,8,509,56,5,2,54,1,0,690,17,1417
金城鎮,北門里,4,11,67,14,650,64,8,10,69,1,0,898,13,1916
金城鎮,賢庵里,5,8,61,12,568,30,10,9,49,4,1,757,11,1677
金城鎮,賢庵里,10,7,41,9,451,25,3,11,32,0,0,589,25,1304
金城鎮,金水里,3,11,24,6,491,23,6,8,40,1,0,613,30,1470
金城鎮,古城里,2,14,25,6,392,15,5,7,12,0,0,478,12,1007
金城鎮,古城里,5,7,32,4,523,33,7,2,45,0,0,658,31,1504
金城鎮,珠沙里,3,8,59,5,561,68,3,7,60,0,1,775,21,1911
金寧鄉,古寧村,3,16,24,6,374,42,4,3,12,1,0,485,30,1168
金寧鄉,古寧村,4,15,25,4,338,36,3,3,22,1,0,451,24,1115
金寧鄉,安美村,6,15,35,0,553,27,2,7,42,1,1,689,43,1691
金寧鄉,安美村,4,3,28,2,434,26,8,2,34,1,3,545,27,1207
金寧鄉,湖埔村,2,3,27,3,527,17,2,7,33,1,1,623,28,1456
金寧鄉,湖埔村,2,3,75,8,751,40,8,13,70,0,2,972,23,1980
金寧鄉,榜林村,11,21,42,8,661,48,12,8,52,3,0,866,18,1997
金寧鄉,榜林村,4,3,31,4,388,12,4,5,18,1,1,471,18,1172
金寧鄉,盤山村,5,7,58,6,596,40,8,2,41,1,1,765,37,1665
金寧鄉,盤山村,8,7,180,32,570,41,17,48,70,4,2,979,19,1896
金寧鄉,后盤村,2,3,19,5,342,29,5,7,20,0,1,433,19,1046
金湖鎮,新市里,6,9,58,17,716,49,2,14,66,2,0,939,15,1856
金湖鎮,新市里,7,5,54,14,659,30,7,6,59,0,1,842,17,1720
金湖鎮,山外里,6,5,31,14,405,25,9,4,47,0,1,547,15,1178
金湖鎮,山外里,7,5,42,10,447,28,10,5,44,0,0,598,19,1307
金湖鎮,溪湖里,4,5,20,3,371,11,6,8,24,0,2,454,27,1036
金湖鎮,蓮庵里,4,4,26,12,430,17,4,1,18,1,1,518,24,1173
金湖鎮,料羅里,3,7,34,3,447,12,4,6,53,0,1,570,23,1276
金湖鎮,新湖里,6,3,44,13,557,33,5,7,49,1,1,719,17,1597
金湖鎮,新湖里,4,5,54,13,499,43,4,3,67,1,0,693,24,1451
金湖鎮,新湖里,4,4,77,12,617,26,8,13,72,0,1,834,23,1735
金湖鎮,正義里,6,20,53,9,625,33,8,9,56,1,1,821,46,1775
金湖鎮,瓊林里,4,4,29,4,414,31,1,4,23,2,0,516,15,1157
金湖鎮,瓊林里,7,6,33,11,431,19,1,5,28,3,0,544,14,1116
金沙鎮,汶沙里,9,8,44,6,499,29,9,8,45,0,2,659,12,1453
金沙鎮,汶沙里,5,8,27,6,444,17,4,7,35,0,0,553,24,1242
金沙鎮,汶沙里,7,7,24,5,427,22,1,5,34,1,0,533,16,1149
金沙鎮,何斗里,3,9,30,3,507,22,4,2,53,0,2,635,20,1417
金沙鎮,浦山里,5,9,20,5,629,34,6,4,48,5,1,766,34,1634
金沙鎮,西園里,3,5,23,4,377,27,3,3,21,0,1,467,14,1102
金沙鎮,官嶼里,3,7,20,5,564,21,2,6,31,2,0,661,23,1556
金沙鎮,三山里,7,9,14,3,480,24,2,4,33,0,1,577,28,1386
金沙鎮,大洋里,3,2,16,4,274,44,2,2,30,0,0,377,21,832
金沙鎮,光前里,4,9,19,9,590,27,7,5,51,1,0,722,40,1603
烈嶼鄉,林湖村,4,7,21,7,413,29,3,3,34,0,0,521,16,1100
烈嶼鄉,林湖村,4,3,23,5,426,25,5,3,32,1,1,528,9,1274
烈嶼鄉,黃埔村,2,8,26,3,325,16,2,2,13,0,0,397,20,1025
烈嶼鄉,西口村,7,12,19,3,447,41,0,2,23,0,1,555,31,1615
烈嶼鄉,上林村,1,8,19,3,330,17,3,1,28,0,1,411,12,1035
烈嶼鄉,上岐村,8,10,23,4,591,88,2,2,36,2,1,767,36,1904
烏坵鄉,大坵村,0,0,4,0,44,4,0,1,1,0,0,54,0,184
烏坵鄉,小坵村,0,0,2,0,38,1,0,0,3,0,0,44,6,216
