,2026年11月28日,1,2,3,4,5,,,
,,候選人A,候選人B,候選人C,候選人D,候選人E,,,
,SPTEMP,無,無,無,無,無,有效票數,無效票數,選舉人數
金城鎮,東門里,0,0,0,0,0,0,0,0
金城鎮,東門里,0,0,0,0,0,0,0,0
金城鎮,東門里,0,0,0,0,0,0,0,0
金城鎮,南門里,0,0,0,0,0,0,0,0
金城鎮,南門里,0,0,0,0,0,0,0,0
金城鎮,南門里,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0
金城鎮,北門里,0,0,0,0,0,0,0,0
金城鎮,北門里,0,0,0,0,0,0,0,0
金城鎮,北門里,0,0,0,0,0,0,0,0
金城鎮,賢庵里,0,0,0,0,0,0,0,0
金城鎮,賢庵里,0,0,0,0,0,0,0,0
金城鎮,賢庵里,0,0,0,0,0,0,0,0
金城鎮,金水里,0,0,0,0,0,0,0,0
金城鎮,古城里,0,0,0,0,0,0,0,0
金城鎮,古城里,0,0,0,0,0,0,0,0
金城鎮,古城里,0,0,0,0,0,0,0,0
金城鎮,珠沙里,0,0,0,0,0,0,0,0
金城鎮,珠沙里,0,0,0,0,0,0,0,0
金寧鄉,古寧村,0,0,0,0,0,0,0,0
金寧鄉,古寧村,0,0,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0,0,0
金寧鄉,后盤村,0,0,0,0,0,0,0,0
金湖鎮,新市里,0,0,0,0,0,0,0,0
金湖鎮,新市里,0,0,0,0,0,0,0,0
金湖鎮,新市里,0,0,0,0,0,0,0,0
金湖鎮,山外里,0,0,0,0,0,0,0,0
金湖鎮,山外里,0,0,0,0,0,0,0,0
金湖鎮,溪湖里,0,0,0,0,0,0,0,0
金湖鎮,蓮庵里,0,0,0,0,0,0,0,0
金湖鎮,料羅里,0,0,0,0,0,0,0,0
金湖鎮,料羅里,0,0,0,0,0,0,0,0
金湖鎮,新湖里,0,0,0,0,0,0,0,0
金湖鎮,新湖里,0,0,0,0,0,0,0,0
金湖鎮,新湖里,0,0,0,0,0,0,0,0
金湖鎮,新湖里,0,0,0,0,0,0,0,0
金湖鎮,新湖里,0,0,0,0,0,0,0,0
金湖鎮,正義里,0,0,0,0,0,0,0,0
金湖鎮,正義里,0,0,0,0,0,0,0,0
金湖鎮,瓊林里,0,0,0,0,0,0,0,0
金湖鎮,瓊林里,0,0,0,0,0,0,0,0
金沙鎮,汶沙里,0,0,0,0,0,0,0,0
金沙鎮,汶沙里,0,0,0,0,0,0,0,0
金沙鎮,汶沙里,0,0,0,0,0,0,0,0
金沙鎮,汶沙里,0,0,0,0,0,0,0,0
金沙鎮,何斗里,0,0,0,0,0,0,0,0
金沙鎮,何斗里,0,0,0,0,0,0,0,0
金沙鎮,浦山里,0,0,0,0,0,0,0,0
金沙鎮,浦山里,0,0,0,0,0,0,0,0
金沙鎮,西園里,0,0,0,0,0,0,0,0
金沙鎮,官嶼里,0,0,0,0,0,0,0,0
金沙鎮,官嶼里,0,0,0,0,0,0,0,0
金沙鎮,三山里,0,0,0,0,0,0,0,0
金沙鎮,三山里,0,0,0,0,0,0,0,0
金沙鎮,大洋里,0,0,0,0,0,0,0,0
金沙鎮,光前里,0,0,0,0,0,0,0,0
金沙鎮,光前里,0,0,0,0,0,0,0,0
烈嶼鄉,林湖村,0,0,0,0,0,0,0,0
烈嶼鄉,林湖村,0,0,0,0,0,0,0,0
烈嶼鄉,黃埔村,0,0,0,0,0,0,0,0
烈嶼鄉,西口村,0,0,0,0,0,0,0,0
烈嶼鄉,西口村,0,0,0,0,0,0,0,0
烈嶼鄉,上林村,0,0,0,0,0,0,0,0
烈嶼鄉,上岐村,0,0,0,0,0,0,0,0
烈嶼鄉,上岐村,0,0,0,0,0,0,0,0
烏坵鄉,大坵村,0,0,0,0,0,0,0,0
烏坵鄉,小坵村,0,0,0,0,0,0,0,0
