,2002年1月26日,1,2,3,,,,,,,,,,,,,
,,林金量*,洪肇輝,林媽端,,,,,,,,,,,,,
,,無,無,中國國民黨,有效票,無效票,選舉人數,,,,,,,,,,
烈嶼鄉,上岐村,135,524,4,663,5,997,,,,,,,,,,
烈嶼鄉,上林村,227,89,2,318,8,516,,,,,,,,,,
烈嶼鄉,西口村,304,124,1,429,8,755,,,,,,,,,,
烈嶼鄉,林湖村,634,187,10,831,12,1158,,,,,,,,,,
烈嶼鄉,黃埔村,178,152,3,333,5,513,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
