,2018年11月24日,1,2,3,4,5,6,7,8,9,10,,,
,,方駿洋*#,陳秀治*#,蔡昱軒,林長征*,吳福全*#,林安棍,林宜蘭,林長耕*,方水萬*#,洪雅明*#,,,
,,中國國民黨,中國國民黨,無,中國國民黨,中國國民黨,無,中國國民黨,無,中國國民黨,無,有效票,無效票,選舉人數
烈嶼鄉,林湖村,43,47,21,285,41,4,71,139,43,95,789,10,1594
烈嶼鄉,林湖村,89,89,35,95,68,11,41,101,70,66,665,9,1679
烈嶼鄉,黃埔村,220,41,19,91,35,6,19,36,168,36,671,11,1580
烈嶼鄉,西口村,22,40,98,35,37,103,21,39,58,28,481,9,1262
烈嶼鄉,西口村,26,49,29,31,38,47,13,25,85,34,377,19,1067
烈嶼鄉,上林村,55,43,35,84,99,8,27,99,57,62,569,11,1374
烈嶼鄉,上岐村,45,29,19,49,78,7,118,23,31,163,562,13,1376
烈嶼鄉,上岐村,20,27,17,35,208,4,54,87,35,66,553,11,1384
