你是否同意公民投票案公告成立後半年內，若該期間內遇有全國性選舉時，在符合公民投票法規定之情形下，公民投票應與該選舉同日舉行？,2021年12月18日,1,2,,,
,,同意,不同意*,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,241,28,269,1,1369
金城鎮,東門里,321,39,360,4,1748
金城鎮,東門里,289,38,327,5,1692
金城鎮,南門里,297,45,342,1,1870
金城鎮,南門里,253,37,290,4,1608
金城鎮,南門里,369,66,435,8,1866
金城鎮,西門里,273,41,314,1,1584
金城鎮,西門里,292,39,331,2,1622
金城鎮,西門里,290,24,314,4,1564
金城鎮,西門里,306,41,347,0,1654
金城鎮,西門里,342,43,385,4,1730
金城鎮,西門里,308,27,335,3,1517
金城鎮,北門里,222,42,264,5,1334
金城鎮,北門里,219,14,233,1,1174
金城鎮,北門里,195,33,228,2,1471
金城鎮,賢庵里,240,49,289,4,1565
金城鎮,賢庵里,220,41,261,1,1530
金城鎮,賢庵里,244,51,295,1,1635
金城鎮,金水里,399,59,458,4,2226
金城鎮,古城里,209,24,233,4,1334
金城鎮,古城里,176,46,222,2,1229
金城鎮,古城里,240,35,275,1,1460
金城鎮,珠沙里,206,32,238,2,1590
金城鎮,珠沙里,234,29,263,3,1295
金寧鄉,古寧村,231,37,268,2,1783
金寧鄉,古寧村,180,31,211,2,1580
金寧鄉,安美村,262,65,327,3,2119
金寧鄉,安美村,151,20,171,3,1014
金寧鄉,安美村,289,35,324,11,1916
金寧鄉,湖埔村,293,49,342,5,1878
金寧鄉,湖埔村,277,154,431,4,1865
金寧鄉,湖埔村,340,50,390,1,1872
金寧鄉,湖埔村,318,42,360,2,1936
金寧鄉,榜林村,294,57,351,8,1933
金寧鄉,榜林村,255,31,286,1,1816
金寧鄉,榜林村,251,39,290,3,1519
金寧鄉,盤山村,254,39,293,4,1570
金寧鄉,盤山村,273,40,313,3,1874
金寧鄉,盤山村,231,219,450,2,1681
金寧鄉,盤山村,192,35,227,1,1278
金寧鄉,后盤村,263,38,301,4,1618
金湖鎮,新市里,256,36,292,6,1248
金湖鎮,新市里,227,22,249,6,1260
金湖鎮,新市里,267,32,299,2,1461
金湖鎮,山外里,331,47,378,7,1882
金湖鎮,山外里,241,36,277,8,1446
金湖鎮,溪湖里,218,18,236,6,1560
金湖鎮,蓮庵里,316,38,354,4,1704
金湖鎮,料羅里,182,17,199,3,1061
金湖鎮,料羅里,180,45,225,2,1071
金湖鎮,新湖里,316,76,392,1,2006
金湖鎮,新湖里,259,35,294,1,1672
金湖鎮,新湖里,239,39,278,3,1459
金湖鎮,新湖里,231,48,279,3,1502
金湖鎮,新湖里,241,55,296,2,1434
金湖鎮,正義里,172,31,203,2,1279
金湖鎮,正義里,280,31,311,10,1420
金湖鎮,瓊林里,280,47,327,5,1652
金湖鎮,瓊林里,286,40,326,5,1607
金沙鎮,汶沙里,145,13,158,2,895
金沙鎮,汶沙里,164,21,185,5,994
金沙鎮,汶沙里,274,27,301,2,1524
金沙鎮,汶沙里,291,32,323,3,1663
金沙鎮,何斗里,165,13,178,3,960
金沙鎮,何斗里,182,16,198,4,1085
金沙鎮,浦山里,219,27,246,2,1212
金沙鎮,浦山里,185,17,202,3,1133
金沙鎮,西園里,245,19,264,1,1592
金沙鎮,官嶼里,211,15,226,2,1233
金沙鎮,官嶼里,125,16,141,3,977
金沙鎮,三山里,135,19,154,4,1033
金沙鎮,三山里,167,14,181,4,922
金沙鎮,大洋里,197,19,216,4,1153
金沙鎮,光前里,188,27,215,1,1251
金沙鎮,光前里,187,35,222,3,1097
烈嶼鄉,林湖村,279,19,298,4,1601
烈嶼鄉,林湖村,274,39,313,1,1727
烈嶼鄉,黃埔村,213,16,229,3,1642
烈嶼鄉,西口村,142,23,165,7,1285
烈嶼鄉,西口村,158,19,177,2,1130
烈嶼鄉,上林村,168,16,184,6,1428
烈嶼鄉,上岐村,231,11,242,3,1411
烈嶼鄉,上岐村,191,23,214,6,1432
烏坵鄉,大坵村,15,4,19,0,270
烏坵鄉,小坵村,15,3,18,0,299
